name,href,price,price1
新品发售 : OnePlus 一加 一加6T 智能手机 亮瓷黑 6GB+128GB,https://www.smzdm.com/p/11247539/,99元定金预售,99
K-TOUCH 天语 T3 老人手机,https://www.smzdm.com/p/11226804/,128元包邮,128
PHILIPS 飞利浦 E212A 深锖色 功能机,https://www.smzdm.com/p/11243891/,298元包邮,298
18点开始 : 小辣椒 红辣椒T9+ 白色 2GB+16GB 移动4G老人学生智能手机,https://www.smzdm.com/p/11248074/,329元包邮,329
Lenovo 联想 A5 智能手机 螺黛黑 3GB+32GB,https://www.smzdm.com/p/11228091/,478元包邮,478
HUAWEI 华为 荣耀 畅玩7 全网通智能手机 2GB+16GB 黑色,https://www.smzdm.com/p/11236334/,519元包邮（需用券）,519
ZTE 中兴 Blade A3 智能手机 曜石黑 3GB+32GB,https://www.smzdm.com/p/11229831/,537元包邮（需用券）,537
30日12点 : 小辣椒 红辣椒S6 智能手机 3GB+32GB,https://www.smzdm.com/p/11244061/,599元包邮,599
HUAWEI 华为 畅享8e 青春版 智能手机 2GB+32GB,https://www.smzdm.com/p/11245828/,619元,619
29日14点 : Coolpad 酷派 酷玩7C 智能手机 极光蓝 3GB 32GB,https://www.smzdm.com/p/11227103/,659元包邮,659
ZTE 中兴 Blade V9 智能手机 4GB+64GB,https://www.smzdm.com/p/11227578/,798元包邮,798
16点 : 中兴 ZTE Blade V9 幻夜黑 4G+64G 双卡双待全网通4G手机,https://www.smzdm.com/p/11218134/,798元包邮,798
小米 红米6 Pro 4GB+32GB 4G全网通手机 曜石黑,https://www.smzdm.com/p/11218055/,899元包邮,899
360手机 N7 智能手机 4GB+32GB,https://www.smzdm.com/p/11236797/,948元包邮（需用券）,948
360手机 N7 Lite 全网通智能手机 幻影黑 4GB+32GB,https://www.smzdm.com/p/11248871/,949元包邮（需用券）,949
smartisan 锤子科技 坚果 3 全网通智能手机 4GB+64GB 酒红色,https://www.smzdm.com/p/11249948/,949元包邮,949
smartisan 锤子科技 坚果 Pro2 特别版 6GB+64GB 酒红色,https://www.smzdm.com/p/11216004/,1169元包邮（需用券）,1169
Lenovo 联想 Z5 全网通智能手机 6GB+64GB 黑色,https://www.smzdm.com/p/11244366/,1197元包邮,1197
1日0点 : vivo Z1 智能手机 4GB+64GB 瓷釉黑,https://www.smzdm.com/p/11244262/,1198元包邮（需用券）,1198
Lenovo 联想 Z5 智能手机 舒曼黑 6GB 64GB,https://www.smzdm.com/p/11227745/,1246元包邮,1246
Honor 荣耀 9i 全网通智能手机 4GB+64GB,https://www.smzdm.com/p/11238703/,1299元,1299
Honor 荣耀 9i 全网通智能手机 4GB+64GB 幻夜黑,https://www.smzdm.com/p/11235471/,1299元包邮,1299
MI 小米6X 智能手机 4GB 64GB 赤焰红,https://www.smzdm.com/p/11216755/,1349元包邮,1349
360手机 N7 智能手机 石墨黑 6GB 64GB,https://www.smzdm.com/p/11225697/,1369元包邮（需用券）,1369
vivoZ1 6+64GB 瓷釉黑 4G全网通 新一代全面屏AI双摄手机,https://www.smzdm.com/p/11244359/,1398元,1398
Lenovo 联想 S5 Pro 智能手机 6GB+64GB 冰魄蓝,https://www.smzdm.com/p/11216464/,1398元包邮（赠耳机）,1398
MI 小米 红米Note5 智能手机 6GB+128GB 金色,https://www.smzdm.com/p/11248327/,1399元包邮（需用券）,1399
smartisan 锤子科技 坚果 Pro 2 全网通智能手机 6GB+64GB,https://www.smzdm.com/p/11245464/,1399元包邮,1399
历史低价 : MOTOROLA 摩托罗拉 Moto Z2 Play 智能手机 4GB+64GB 金色,https://www.smzdm.com/p/11244096/,1399元包邮,1399
vivo Z1 智能手机 极光特别版 6GB+64GB,https://www.smzdm.com/p/11226881/,1418元包邮（需用券）,1418
Lenovo 联想 Z5 全网通智能手机 6GB+128GB 极光色,https://www.smzdm.com/p/11246423/,1447元包邮,1447
29日22点 : SAMSUNG 三星 Galaxy A9 Star lite 智能手机 4GB+64GB,https://www.smzdm.com/p/11234381/,1499元包邮,1499
GOME 国美 U9 智能手机 6GB+64GB,https://www.smzdm.com/p/11227616/,1499元包邮,1499
HUAWEI 华为 荣耀8X Max 全网通智能手机 4GB+128GB,https://www.smzdm.com/p/11232055/,1569元包邮（需用码）,1569
30日14点 : vivo Z1 智能手机 6GB+64GB 保险套装,https://www.smzdm.com/p/11245128/,1598元包邮,1598
vivo Z1 新一代全面屏 双摄拍照手机 移动联通电信4G全网通 6GB+64GB大内存智能手机 极光特别版,https://www.smzdm.com/p/11233582/,1598元,1598
MI 小米 小米8 SE 智能手机 4GB 64GB 灰色,https://www.smzdm.com/p/11252629/,1599元,1599
360手机 N7 Pro 智能手机 玛瑙黑 6GB+64GB,https://www.smzdm.com/p/11216547/,1648元包邮（需用券）,1648
1日0点、历史低价 : MI 小米 8 SE 全网通 智能手机 6GB+64GB,https://www.smzdm.com/p/11243364/,1649元包邮（需用券）,1649
Honor 荣耀Play 智能手机 4GB+64GB 星云紫,https://www.smzdm.com/p/11236377/,1649元包邮（需用券）,1649
MI 小米 6X 全网通智能手机 6GB+128GB,https://www.smzdm.com/p/11216580/,1649元包邮,1649
1日0点、历史低价 : vivo Z1 智能手机 瓷釉黑 6GB 128GB,https://www.smzdm.com/p/11244310/,1698元包邮（需用券）,1698
smartisan 锤子科技 坚果 Pro 2S 智能手机 碳黑色（细红线版）6GB 64GB,https://www.smzdm.com/p/11225277/,1698元包邮,1698
30日10:07 : NOKIA 诺基亚 X7 智能手机 暮夜红 4GB 64GB,https://www.smzdm.com/p/11229026/,1699元包邮,1699
HUAWEI 华为 nova 2s 全网通智能手机 4GB+64GB,https://www.smzdm.com/p/11230747/,1699元包邮,1699
SAMSUNG 三星 Galaxy A6s 智能手机 6GB+64GB,https://www.smzdm.com/p/11218882/,1749元包邮,1749
1日0点、历史低价 : MI 小米 小米8 SE 智能手机 6GB+128GB,https://www.smzdm.com/p/11243750/,1799元包邮（需用券）,1799
