name,href,price,price1
ZTE 中兴 A606 智能手机 2GB+16GB,https://www.smzdm.com/p/11384857/,409元,409
ZTE 中兴 Blade A3 智能手机 冰川蓝 3GB 32GB,https://www.smzdm.com/p/11384877/,497元包邮,497
HUAWEI 华为 畅享8e青春版 2GB+32GB 4G全网通手机,https://www.smzdm.com/p/11390448/,569元包邮（双重优惠）,569
MI 小米 红米 6A 全网通智能手机 3GB+32GB,https://www.smzdm.com/p/11387820/,579元包邮,579
Honor 荣耀 畅玩7A 智能手机 3GB+32GB,https://www.smzdm.com/p/11401008/,599元包邮,599
SUGAR 糖果手机 C11 3GB+32G 全网通智能手机,https://www.smzdm.com/p/11398611/,599元,599
MI 小米 红米6 3GB+32GB 全网通智能手机,https://www.smzdm.com/p/11386256/,624元包邮（需用券）,624
ZTE 中兴 Blade A4 全网通智能手机 4GB+64GB,https://www.smzdm.com/p/11399550/,669元,669
小辣椒 红辣椒7S 刘海屏双摄智能手机 4GB+64GB 黑色 移动联动电信4G 双卡双待,https://www.smzdm.com/p/11405230/,838元,838
MI 小米 红米6 Pro 智能手机 4GB+32GB 曜石黑,https://www.smzdm.com/p/11388759/,848元,848
Nokia/诺基亚 X5全网通4G全面屏诺基亚x5,https://www.smzdm.com/p/11403217/,849元,849
小辣椒 红辣椒Note5X 6+64GBAI双摄全面屏 4G全网通手机 黑色,https://www.smzdm.com/p/11401015/,938元,938
MI 小米 红米5 Plus 4GB+64GB 全网通手机 黑色,https://www.smzdm.com/p/11384888/,948元,948
MI 小米 红米6 Pro 全网通智能手机 4GB+64GB 曜石黑,https://www.smzdm.com/p/11386645/,998元包邮,998
Honor 荣耀 畅玩8C 全网通智能手机 4GB+32GB,https://www.smzdm.com/p/11389834/,999元包邮（需用券）,999
smartisan 锤子科技 坚果 Pro2 特别版 6GB+64GB 酒红色,https://www.smzdm.com/p/11397978/,1061元包邮（需用券）,1061
MEIZU 魅族 Note8 智能手机 曜黑 4GB+64GB,https://www.smzdm.com/p/11390045/,1098元包邮,1098
HUAWEI 华为 荣耀9青春版 全网通智能手机 海鸥灰 4GB 64GB,https://www.smzdm.com/p/11393983/,1099元包邮（需用券）,1099
vivo Y73 4GB+64GB 磨砂黑 全面屏千元机 移动联通电信全网通4G手机 双卡双待,https://www.smzdm.com/p/11388900/,1099元,1099
MI 小米6X 全网通 智能手机 樱花粉 4GB 32GB,https://www.smzdm.com/p/11389932/,1149元,1149
vivo Z1 智能手机 4GB 64GB 极光特别版,https://www.smzdm.com/p/11387422/,1198元包邮（需用券）,1198
NOKIA 诺基亚 X6 智能手机,https://www.smzdm.com/p/11400113/,1199元,1199
历史低价 : meitu 美图 M8s 智能手机 4GB+64GB,https://www.smzdm.com/p/11388708/,1199元包邮（需用券）,1199
MI 小米 红米Note5 智能手机 6GB 128GB 金色,https://www.smzdm.com/p/11385898/,1248元包邮,1248
Lenovo 联想 Z5 全网通智能手机 6GB+64GB,https://www.smzdm.com/p/11382391/,1266元包邮（需用券）,1266
小米Max2 智能手机 香槟金 4GB 128GB,https://www.smzdm.com/p/11385968/,1299元,1299
MI 小米6X 全网通 智能手机 6GB 64GB 曜石黑,https://www.smzdm.com/p/11389928/,1339元,1339
小米（MI） 小米6X 移动4G+全网通版4G智能手机 金色（6G+64G）,https://www.smzdm.com/p/11389921/,1339元,1339
Honor 荣耀 8X Max 全网通智能手机 4GB+64GB,https://www.smzdm.com/p/11404373/,1349元包邮（需用券）,1349
荣耀(honor) 8X Max 4GB+64GB 魅海蓝 全网通智能手机 移动联通电信4G全面屏手机 双卡双待,https://www.smzdm.com/p/11403008/,1349元,1349
MI 小米6X 全网通 智能手机 6GB 64GB 冰川蓝,https://www.smzdm.com/p/11398057/,1349元,1349
360手机 N7 Pro 智能手机 玛瑙黑 6GB 64GB,https://www.smzdm.com/p/11399298/,1364元,1364
vivoZ1 6+64GB 瓷釉黑 4G全网通 新一代全面屏AI双摄手机,https://www.smzdm.com/p/11387499/,1398元,1398
vivo Z3 智能手机 极光蓝 4GB 64GB,https://www.smzdm.com/p/11385706/,1398元包邮（需用券）,1398
MI 小米 Max 3 智能手机 4GB+64GB,https://www.smzdm.com/p/11388070/,1399元包邮（需用券）,1399
OPPO K1 智能手机 梵星蓝 4GB 64GB,https://www.smzdm.com/p/11382365/,1399元,1399
Lenovo 联想 Z5 智能手机 6GB 128GB 极光色,https://www.smzdm.com/p/11400364/,1445元,1445
MI 小米 小米8 SE 智能手机 4GB 64GB 灰色,https://www.smzdm.com/p/11402609/,1498元,1498
smartisan 锤子科技 坚果 Pro 2S 智能手机 炫光红 6GB+64GB,https://www.smzdm.com/p/11385179/,1498元包邮,1498
MI 小米6X 全网通 智能手机 6GB+128GB,https://www.smzdm.com/p/11401152/,1499元包邮（需用券）,1499
MI 小米6X 全网通 智能手机 6GB 128GB 赤焰红,https://www.smzdm.com/p/11389885/,1499元包邮（需用券）,1499
HUAWEI 华为 荣耀Play 全网通智能手机 4GB+64GB,https://www.smzdm.com/p/11381960/,1589元包邮（需用券）,1589
HUAWEI 华为 荣耀Play 全网通智能手机 4GB+64GB,https://www.smzdm.com/p/11386967/,1599元包邮（需用券）,1599
HUAWEI 华为 荣耀Play 全网通智能手机 4GB+64GB,https://www.smzdm.com/p/11386246/,1639元包邮（需用码）,1639
MI 小米 小米8 SE 智能手机 6GB 64GB 灰色,https://www.smzdm.com/p/11405021/,1649元,1649
小辣椒 红辣椒R15 智能手机 6GB+128GB,https://www.smzdm.com/p/11404890/,1649元,1649
MI 小米 小米8 SE 智能手机 6GB 64GB 金色,https://www.smzdm.com/p/11390059/,1649元,1649
vivo Z1 智能手机 6GB+128GB,https://www.smzdm.com/p/11394557/,1698元包邮（需用券）,1698
7日10点 : 诺基亚 NOKIA X7 6GB+64GB 沁夜黑,https://www.smzdm.com/p/11400886/,1699元包邮,1699
NOKIA 诺基亚 X7 智能手机 暗夜蓝 4GB 64GB,https://www.smzdm.com/p/11390289/,1699元,1699
