name,href,price,price1
宜客莱苹果笔记本电脑导气式键盘膜Macbook 12英寸/新款Pro13.3英寸无Touch Bar 高透EA016SGD金色,https://www.smzdm.com/p/11382878/,24元,24
宜客莱典雅风尚笔记本电脑包内胆包 适合Macbook Air11及多数11.6英寸笔记本电脑IN-ES11BL/典雅蓝,https://www.smzdm.com/p/11384022/,25元,25
宜客莱典雅风尚笔记本电脑包内胆包IN-ES14BL/典雅蓝,https://www.smzdm.com/p/11382817/,30元,30
宜客莱典雅风尚笔记本电脑包内胆包 适用Macbook Pro15及多数15.6英寸笔记本电脑IN-ES15BL/典雅蓝,https://www.smzdm.com/p/11383447/,36元,36
小米小米笔记本内胆包12.5英寸 灰色舞龙沙,https://www.smzdm.com/p/11404412/,39元,39
绿巨能（llano) 华硕笔记本电脑充电器65W电源适配器19V3.42A 4.0X1.35mm适用于S200L UX32VD U303L,https://www.smzdm.com/p/11404288/,84元,84
绿巨能惠普笔记本19.5V 6.15A 120W笔记本ENVY15 ENVY17 暗影精灵2 omen 15-5209TX 电源适配器,https://www.smzdm.com/p/11405114/,94元,94
绿巨能（llano）联想笔记本充电器T440P T540P Y50-70 R720拯救者系列IdeaPad700-15ISK电源适配器20V6.75A,https://www.smzdm.com/p/11403165/,94元,94
倍方 笔记本电脑防窥膜 防窥电脑保护膜 笔记本电脑15.4英寸显示器防窥膜防窥片 防窥屏 防反光膜,https://www.smzdm.com/p/11403682/,124元,124
Snowkids 小米Air13.3英寸笔记本贴膜套装 贴纸保护壳套TPU透明键盘膜 3M笔记本电脑膜 银色套装,https://www.smzdm.com/p/11405977/,134元,134
Snowkids 苹果Macbook Pro13 touch bar笔记本贴膜键盘膜套装贴纸外壳保护膜 3M电脑膜 灰色套装,https://www.smzdm.com/p/11404684/,134元,134
Snowkids 华为Matebook X笔记本贴膜套装 贴纸保护壳套TPU透明键盘膜 3M笔记本电脑膜 灰色套装,https://www.smzdm.com/p/11404458/,134元,134
Snowkids 苹果Macbook Pro15 touch bar笔记本贴膜键盘膜套装贴纸外壳保护膜 3M电脑膜银色套装,https://www.smzdm.com/p/11404344/,134元,134
绿巨能惠普笔记本电脑ki04电池 Pavilion 14 TPN-Q158/159/160 HSTNN-LB6S暗影精灵游戏本电池,https://www.smzdm.com/p/11405107/,164元,164
绿巨能联想笔记本电脑电池 Z400 Z410 ZX10 Z500 Z510 L12S4K01 L12M4F02 P500 P400 内置电池,https://www.smzdm.com/p/11383398/,209元,209
倍方 笔记本电脑防窥膜 防窥电脑保护膜 笔记本电脑15.6寸防窥片 防窥屏 保护隐私 防反光膜,https://www.smzdm.com/p/11404763/,69.5元,695
ThinkPad E480（2UCD）14英寸笔记本电脑（i3-7020U、4GB、500GB）黑,https://www.smzdm.com/p/11398217/,2998元,2998
acer 宏碁 墨舞 TMX349 14英寸轻薄笔记本（i5-7200U、4GB、128GB）,https://www.smzdm.com/p/11404235/,2999元包邮,2999
ASUS 华硕 思聪本E403 14英寸笔记本电脑（N4200 4G 128GEMMC FHD Win10）灰色,https://www.smzdm.com/p/11398446/,2999元,2999
Hasee 神舟 战神K650D-G4D5 15.6英寸游戏笔记本电脑（G5400、4GB、256GB、MX150）,https://www.smzdm.com/p/11387360/,3698元,3698
有券的上 : Honor 荣耀 MagicBook 锐龙版 14英寸笔记本电脑（R5-2500U、8GB、256GB）,https://www.smzdm.com/p/11373362/,3699元包邮（需用券）,3699
Honor 荣耀 MagicBook 锐龙版 14英寸笔记本电脑（R5-2500U、8GB、256GB）星空灰,https://www.smzdm.com/p/11333316/,3699元包邮（需用券）,3699
MI 小米Air 13.3英寸笔记本电脑（i3-8130U、8GB、128GB、72%NTSC）,https://www.smzdm.com/p/11376310/,3798元包邮,3798
Acer 宏碁 炫6 A615 15.6英寸轻薄本（i5-8250U、4GB、1TB、MX150 2GB）,https://www.smzdm.com/p/11378151/,3799元包邮,3799
Lenovo 联想 ThinkPad E480（3BCD）14英寸窄边框笔记本电脑（i5-7200U、4G、500G、RX550 2G）黑,https://www.smzdm.com/p/11372385/,3799元,3799
DELL 戴尔 灵越5000 15.6英寸笔记本电脑（R5-2500U、8GB、256GB）,https://www.smzdm.com/p/11378991/,3899元包邮（需用券）,3899
Lenovo 联想 Ideapad320S 15.6英寸笔记本电脑（i5-7200U、4G、1T、920MX 2G）,https://www.smzdm.com/p/11341994/,3999元,3999
MI 小米 小米笔记本 Ruby 15.6英寸笔记本电脑 （i5-8250U、8GB、1TB+128GB、MX110 2G）,https://www.smzdm.com/p/11392551/,4199元包邮,4199
Honor 荣耀 MagicBook 锐龙版 14英寸笔记本电脑 （R5 2500U、8GB、512GBGB）,https://www.smzdm.com/p/11405184/,4288元,4288
acer 宏碁 蜂鸟 Swift3 13.3英寸笔记本电脑（i5-8250U、4GB、256GB、72%NTSC、IPS）银,https://www.smzdm.com/p/11365644/,4299元包邮,4299
Honor 荣耀 MagicBook 锐龙版 14英寸笔记本电脑 （R5 2500U、8GB、512GB）,https://www.smzdm.com/p/11373425/,4399元包邮,4399
acer 宏碁 蜂鸟 Swift3 SF314 14英寸笔记本电脑（i5-8250U、8GB、1TB+128GB）,https://www.smzdm.com/p/11386944/,4499元,4499
SAMSUNG 三星 Notebook 5 15.6英寸笔记本（i5-8250U、8G、500GB+128GB、 MX150 2G）,https://www.smzdm.com/p/11403180/,4588元,4588
历史低价 : HP 惠普 战66 Pro G1 14英寸笔记本电脑（i5-8250U、8GB、360GB、MX150 2G）,https://www.smzdm.com/p/11359856/,4598元包邮（需用券）,4598
HP 惠普 星 13-an0000TU 13.3英寸笔记本电脑,https://www.smzdm.com/p/11386210/,4599元包邮,4599
宏碁蜂鸟Swift3微边框轻薄本 14英寸全金属笔记本电脑SF314粉小样,https://www.smzdm.com/p/11382936/,4599元,4599
华硕a豆(adol) 13.3英寸四面窄边框轻薄笔记本电脑(i5-8250U 8G 256GSSD MX150 IPS)皓月银,https://www.smzdm.com/p/11381452/,4599元,4599
acer 宏碁 蜂鸟 Swift 3 SF314 14英寸笔记本（i5-8250U、8GB、256GB、IPS）,https://www.smzdm.com/p/11379975/,4599元,4599
MI 小米 Ruby 15.6英寸笔记本电脑（i7-8550U、8GB、1TB+128GB、MX110 2GB）,https://www.smzdm.com/p/11372988/,4699元包邮,4699
ASUS 华硕 灵耀S4000UA 14英寸笔记本电脑（i7-7500U、8GB、256GB）,https://www.smzdm.com/p/11405732/,4798元,4798
华硕 灵耀S 14英寸超窄边框超轻薄笔记本电脑灰色,https://www.smzdm.com/p/11404519/,4798元,4798
7日6点 : Lenovo 联想 小新潮7000 13.3英寸笔记本电脑（i5-8250U、8GB、256GB、MX150 2GB）,https://www.smzdm.com/p/11397010/,4798元包邮,4798
Honor 荣耀 MagicBook 14英寸笔记本电脑（i5-8250U、8GB、256GB、MX150 2G、指纹识别）,https://www.smzdm.com/p/11379803/,4798元,4798
联想 ThinkPad E485（0HCD）14英寸窄边框笔记本电脑（锐龙7-2700U 8G 256GSSD FHD Win10）黑色,https://www.smzdm.com/p/11403795/,4799元（需用券）,4799
华硕顽石(ASUS) 五代FL8000UF 15.6英寸影音笔记本电脑(i7-8550U 8G 128GSSD+1T MX130 2G独显 FHD)星空灰,https://www.smzdm.com/p/11400895/,4799元,4799
ThinkPad 翼480 14英寸笔记本电脑（i5-8250U、8GB、256GB）,https://www.smzdm.com/p/11384564/,4799元包邮,4799
HP 惠普 EliteBook 745G5 14英寸笔记本电脑（R7 2700U、8G、256GB）,https://www.smzdm.com/p/11357717/,4888元包邮（需用券）,4888
炫龙（Shinelon）毁灭者DC2 GTX1050 4G独显 15.6英寸游戏笔记本电脑（i5-8400 8G 256G SSD IPS）,https://www.smzdm.com/p/11405002/,4988元,4988
小米(MI)Air 13.3英寸全金属超轻薄笔记本电脑(i5- PCIE SSD MX150 2G独显 指纹版)银,https://www.smzdm.com/p/11379817/,4988元,4988
MI 小米 Air 13.3英寸笔记本电脑（i5-8250U、8GB、256GB、MX150 2G、指纹版）,https://www.smzdm.com/p/11384375/,4998元,4998
限地区 : 联想(Lenovo)小新Air13.3英寸超轻薄笔记本电脑(i5-8265U 8G 256G PCIe MX150 高色域IPS Office2016)玫瑰金,https://www.smzdm.com/p/11385752/,4999元包邮,4999
7日0点 : ASUS 华硕 a豆（adol）13.3英寸笔记本电脑（i7-8550U、8GB、256GB）,https://www.smzdm.com/p/11383958/,4999元包邮 ,4999
戴尔DELL 燃7000 3代 14.0英寸轻薄窄边框笔记本电脑(i5-8265U 8G 256GSSD MX150 2G独显 背光键盘)太阳金,https://www.smzdm.com/p/11378847/,4999元,4999
HP 惠普 EliteBook 735G5 13.3英寸笔记本电脑（R7 PRO 2700U、8GB、256GB、100%sRGB）,https://www.smzdm.com/p/11402938/,5188元,5188
惠普（HP）星 14-ce1005TX 14英寸轻薄笔记本电脑（i5-8265U 8G 1TB+128SSD MX150 2G独显 FHD IPS）金,https://www.smzdm.com/p/11396858/,5279元包邮（需用券）,5279
ASUS 华硕 灵耀S 2代 14英寸笔记本电脑（i7-8550U、8GB、256GB、MX150 2G）,https://www.smzdm.com/p/11381479/,5299元包邮,5299
惠普（HP）星 14-ce1004TX 14英寸轻薄笔记本电脑（i5-8265U 8G 1TB+128SSD MX150 2G独显 FHD IPS）银,https://www.smzdm.com/p/11378336/,5299元,5299
Lenovo 联想 V530S 14英寸商务轻薄笔记本电脑（i5-8250U 8G 256G PCIe SSD FHD MX150 Win10 ）星空灰,https://www.smzdm.com/p/11361899/,5299元包邮,5299
MI 小米笔记本Pro 15.6英寸笔记本电脑（i5-8250U、8GB、256GB、MX150 2G）,https://www.smzdm.com/p/11373329/,5398元包邮,5398
Honor 荣耀 MagicBook 14英寸笔记本电脑（i7-8550U、8GB、256GB、MX150 2G、指纹识别）,https://www.smzdm.com/p/11373406/,5399元包邮,5399
戴尔DELL燃7000 pro 15.6英寸轻薄笔记本电脑(i5-8265U 8G 128GSSD 1T MX150 2G独显 FHD 背光键盘)冰河银,https://www.smzdm.com/p/11381702/,5479元,5479
ThinkPad X280（1PCD）12.5英寸轻薄本（i5-8250U、8GB、256GB）,https://www.smzdm.com/p/11403257/,5499元（需用券）,5499
11日0点 : Apple MacBook Air 13.3英寸笔记本电脑 MQD32CH/A（i5、8GB、128GB）,https://www.smzdm.com/p/11390060/,5699元,5699
华硕飞行堡垒五代FX80GE 15.6英寸游戏本学生笔记本电脑,https://www.smzdm.com/p/11388801/,5699元包邮（满减）,5699
HP 惠普 暗影精灵 4代 15.6英寸游戏本（i5-8300H、8GB、128GB+1TB、GTX1050 2G）,https://www.smzdm.com/p/11384031/,5699元,5699
DELL 戴尔 燃7000 3代 14寸笔记本电脑（i7-8565U、8GB、256GB、MX150 2GB）,https://www.smzdm.com/p/11382213/,5771元包邮（需用券）,5771
DELL 戴尔 游匣G3 烈焰版 15.6英寸游戏笔记本电脑（i5-8300H、8GB、128GB+1TB、GTX 1050Ti 4GB）,https://www.smzdm.com/p/11383987/,5879元包邮（需用券）,5879
Huawei/华为 MateBook D MRC-W60笔记本i7轻薄,https://www.smzdm.com/p/11399297/,5988元,5988
msi 微星 GF63 15.6英寸 游戏本 （i5-8300H、8GB、128GB+1TB、GTX 1050Ti Max-Q）,https://www.smzdm.com/p/11377752/,5989元包邮,5989
华硕(ASUS) 灵耀S 2代 15.6英寸三面微边轻薄笔记本电脑(i7-8550U 8G 512GSSD MX150 2G IPS)冰钻金(S5300),https://www.smzdm.com/p/11405751/,5998元,5998
HP 惠普 战66 Pro G1 14英寸轻薄笔记本电脑（i7-8550U 8G 360G PCIe SSD+500G 标压MX150 2G独显）银色,https://www.smzdm.com/p/11378169/,6199元,6199
ASUS 华硕 飞行堡垒 6 15.6英寸游戏本（i5-8300H、8GB、256GB+1TB、GTX1050Ti 4G）,https://www.smzdm.com/p/11405629/,6298元,6298
ThinkPad S213.3英寸轻薄笔记本电脑 (I5-8250U 8G 256GB固态硬盘 集显 Win10 银色）,https://www.smzdm.com/p/11379018/,6399元,6399
ASUS 华硕 灵耀S 2代 15.6英寸笔记本电脑（i7-8550U、16GB、512GB、MX150 2G） 消光灰,https://www.smzdm.com/p/11384630/,6484元包邮（需用券）,6484
华硕(ASUS) 灵耀U 2代 14英寸合金机身轻薄笔记本电脑(i5-8265U 8G 512GSSD MX150 2G IPS)尊爵蓝(U4300),https://www.smzdm.com/p/11403352/,6499元,6499
MI 小米 Pro 15.6英寸超极本电脑 i7-8550U 16G,https://www.smzdm.com/p/11402669/,6798元,6798
6日0点 : DELL 戴尔 游匣G3 烈焰版 15.6英寸游戏本（i7-8750H、8G、128G+1T、GTX1050Ti 4G、72%NTSC）,https://www.smzdm.com/p/11373254/,6979元包邮（需用券）,6979
神舟战神 Z7-KP7DC 15.6英寸游戏本学生笔记本电脑（I7-8750H 8G 1TB+128GB SSD GTX1060 6G WIN10 IPS),https://www.smzdm.com/p/11356922/,6998元,6998
LG gram 14Z980-G.AA53C 14英寸笔记本电脑（i5-8250U、8GB、256GB）,https://www.smzdm.com/p/11381543/,6999元包邮,6999
ASUS 华硕 飞行堡垒6 15.6英寸戏笔记本电脑（i7-8750H 8G 256GSSD+1T GTX1050Ti 4G IPS）火陨红黑,https://www.smzdm.com/p/11381501/,6999元,6999
HP 惠普 战99 15.6英寸 笔记本工作站（i7-8750H、8GB、256GB+1TB、Quadro P600 4G）,https://www.smzdm.com/p/11377772/,6999元包邮,6999
Hasee 神舟 战神 Z7M-KP7GZ 破界者15.6英寸笔记本电脑（i7-8750H、8GB、1TB+128GB、GTX1050TI 4GB、72％）,https://www.smzdm.com/p/11356934/,6999元包邮,6999
炫龙 毁灭者 KP 2代金属狂潮 九代六核i5-9600K GTX1060 6G独显RGB背光键盘游戏本笔记本电脑,https://www.smzdm.com/p/11374910/,7099元,7099
HP 惠普 暗影精灵4代 15.6英寸游戏笔记本电脑,https://www.smzdm.com/p/11383994/,7688元包邮,7688
